document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,143,St. Agnes Hospital,900 S Caton Ave,"Baltimore,MD,21229",Baltimore City,Penalty Settlement,PS-13-1746,08/21/2012,10/23/2012,Notice of Intent,Notice of Intent (Construction)
,229,"Heritage at Silver Spring Titleholder, LLC",8021 Georgia Ave,"Silver Spring,MD,21910",Montgomery,Consent Order,CO-15-2138,09/09/2014,12/23/2014,Notice of Intent,Industrial Minor
,1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,ps-13-1820,12/12/2012,03/10/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,1792,US Coast Guard Yard (USCG Yard),2401 Hawkins Point Rd,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,C-15-2205,01/07/2015,01/22/2015,Sediment,
,1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Penalty Settlement,"Bull, Kevin",03/26/2015,05/07/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,2254,Hi Tech Color Inc,1721 Midway Road,"Odenton,MD,21113",Anne Arundel,Penalty Settlement,Patrick Noyes,01/25/2017,01/31/2017,Surface Water Discharge Permit,Industrial Stormwater
,2928,Hearne-Crown,28410 South Crown Rd,"Edenland,MD,21822",Wicomico,Consent Order,CO-13-1758,09/14/2012,01/14/2016,Surface Water Discharge Permit,Municipal Minor
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Consent Decree,CO-15-2208,12/24/2014,03/07/2022,Surface Water Discharge Permit,Municipal Major
,3630,Greenlight Biofuels,11508 E Maple Ave,"Beltsville,MD,20705",Prince George's,Required Confirmation,Arno Laud,07/24/2015,10/16/2015,Surface Water Discharge Unauthorized,Industrial Minor
,3746,"Choptank Electric Cooperative, Inc.",24820 Meeting House Rd,"Denton,MD,21629",Caroline,Penalty Settlement,OPS-14-1978,08/15/2013,09/03/2013,Groundwater Discharge Permit,Industrial Minor
