document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,county_slug,site_slug
,143,St. Agnes Hospital,900 S Caton Ave,"Baltimore,MD,21229",Baltimore City,Penalty Settlement,PS-13-1746,2012-08-21,2012-10-23,Notice of Intent,Notice of Intent (Construction),baltimore-city,st-agnes-hospital
,229,"Heritage at Silver Spring Titleholder, LLC",8021 Georgia Ave,"Silver Spring,MD,21910",Montgomery,Consent Order,CO-15-2138,2014-09-09,2014-12-23,Notice of Intent,Industrial Minor,montgomery,heritage-at-silver-spring-titleholder-llc
,1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,ps-13-1820,2012-12-12,2013-03-10,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,andrews-air-force-base
,1792,US Coast Guard Yard (USCG Yard),2401 Hawkins Point Rd,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,C-15-2205,2015-01-07,2015-01-22,Sediment,,anne-arundel,us-coast-guard-yard-uscg-yard
,1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Penalty Settlement,"Bull, Kevin",2015-03-26,2015-05-07,Surface Water Discharge Unauthorized,Collection System (SSO),washington,city-of-hagerstown-wwtp-pangborn-park-lake-silt-disposal-site
,2254,Hi Tech Color Inc,1721 Midway Road,"Odenton,MD,21113",Anne Arundel,Penalty Settlement,Patrick Noyes,2017-01-25,2017-01-31,Surface Water Discharge Permit,Industrial Stormwater,anne-arundel,hi-tech-color-inc
,2928,Hearne-Crown,28410 South Crown Rd,"Edenland,MD,21822",Wicomico,Consent Order,CO-13-1758,2012-09-14,2016-01-14,Surface Water Discharge Permit,Municipal Minor,wicomico,hearne-crown
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Consent Decree,CO-15-2208,2014-12-24,2022-03-07,Surface Water Discharge Permit,Municipal Major,baltimore-city,patapsco-wwtp
,3630,Greenlight Biofuels,11508 E Maple Ave,"Beltsville,MD,20705",Prince George's,Required Confirmation,Arno Laud,2015-07-24,2015-10-16,Surface Water Discharge Unauthorized,Industrial Minor,prince-george-s,greenlight-biofuels
,3746,"Choptank Electric Cooperative, Inc.",24820 Meeting House Rd,"Denton,MD,21629",Caroline,Penalty Settlement,OPS-14-1978,2013-08-15,2013-09-03,Groundwater Discharge Permit,Industrial Minor,caroline,choptank-electric-cooperative-inc
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Administrative Order,CO-12-1462,2011-09-09,2014-06-30,Surface Water Discharge Permit,,dorchester,cambridge-wwtp
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Offer to Settle,,2020-03-09,2020-08-31,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),dorchester,cambridge-wwtp
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Offer to Settle,,2020-03-09,2020-08-31,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,dorchester,cambridge-wwtp
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Penalty Settlement,Patrick Noyes,2018-03-23,2018-05-15,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),dorchester,cambridge-wwtp
,4023,Annapolis Water Reclamation Facility,7228 Edgewood Road,"Annapolis,MD,21401",Anne Arundel,Consent Order,CO-12-1584,2012-02-12,2017-11-22,Surface Water Discharge Permit,Municipal Major,anne-arundel,annapolis-water-reclamation-facility
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Consent Order,CO-16-2407,2016-06-20,,Surface Water Discharge Permit,Municipal Minor,kent,j-lawrence-nicholson-landfill
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,C-14-2077,2014-04-08,2014-05-01,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,wssc-western-branch-wrrf
,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,,,2019-11-03,2019-12-09,Not Assigned,,montgomery,wssc-potomac-wfp-water-filtration-plant
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Administrative Order,PS-17-2462,2017-04-20,2017-06-21,Surface Water Discharge Unauthorized,Collection System (SSO),wicomico,salisbury-wwtp-outwall-diffuser-utility-repair
